,Age,DailyRate,DistanceFromHome,Education,EmployeeNumber,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,RelationshipSatisfaction,StockOptionLevel,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsSinceLastPromotion,Attrition,Gender,OverTime,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single
0,41,1102,1,2,1,2,94,3,2,4,19479,8,11,1,0,0,1,6,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1,49,279,8,1,2,3,61,2,2,2,24907,1,23,4,1,3,3,10,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2,37,1373,2,2,3,4,92,2,1,3,2396,6,15,2,0,3,3,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
3,33,1392,3,4,4,4,56,3,1,3,23159,1,11,3,0,3,3,8,3,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
4,27,591,2,1,5,1,40,3,1,2,16632,9,12,4,1,3,3,2,2,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
5,32,1005,2,2,6,4,79,3,1,4,11864,0,13,3,0,2,2,7,3,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
6,59,1324,3,3,7,3,81,4,1,1,9964,4,20,1,3,3,2,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
7,30,1358,24,1,8,4,67,3,1,3,13335,1,22,2,1,2,3,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8,38,216,23,3,9,4,44,2,3,3,8787,0,21,2,0,2,3,9,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
9,36,1299,27,3,10,3,94,3,2,3,16577,6,13,2,2,3,2,7,7,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
10,35,809,16,3,11,1,84,4,1,2,16479,0,13,3,1,5,3,5,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
11,29,153,15,2,12,4,49,2,2,3,12682,0,12,4,0,3,3,9,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
12,31,670,26,1,13,1,31,3,1,3,15170,1,17,4,1,1,2,5,4,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13,34,1346,19,2,14,2,93,3,1,4,8758,0,11,3,1,2,3,2,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
14,28,103,24,3,15,3,50,2,1,3,12947,5,14,2,0,4,3,4,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
15,29,1389,21,4,16,2,51,4,3,1,10195,1,11,3,1,1,3,10,8,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
16,32,334,5,2,17,1,80,4,1,2,15053,0,12,4,2,5,2,6,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17,22,1123,16,2,18,4,96,4,1,4,7324,1,13,2,2,2,2,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
18,53,1219,2,4,19,1,78,2,4,4,22021,2,16,3,0,3,3,25,3,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
19,38,371,2,3,20,4,45,3,1,4,4306,5,11,3,0,3,3,3,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
20,24,673,11,2,21,1,96,4,2,3,8232,0,18,4,1,5,2,4,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
21,36,1218,9,4,22,3,82,2,1,1,6986,7,23,2,0,4,3,5,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
22,34,419,7,4,23,1,53,3,3,2,21293,0,11,3,0,4,3,12,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
